time_step,actual_workload_rps,absolute_min_pods_req,hpa_allocated_pods,paks_allocated_pods
114,1541.159030564302,16.0,22.0,24.0
115,1675.004423517549,17.0,23.0,24.0
116,1411.9220833236316,15.0,24.0,25.0
117,1829.0926819852696,19.0,21.0,23.0
118,1548.9782370909409,16.0,27.0,28.0
119,1480.3110336159966,15.0,23.0,24.0
120,1293.2753462174105,13.0,22.0,23.0
121,1220.4004473003267,13.0,19.0,20.0
122,1151.4151970234943,12.0,18.0,19.0
123,1010.9583093492473,11.0,17.0,17.0
124,1049.4696911753797,11.0,15.0,16.0
125,966.9166424451824,10.0,15.0,15.0
126,826.502649208231,9.0,14.0,15.0
127,722.0381801341388,8.0,12.0,12.0
128,771.9283440343148,8.0,11.0,12.0
129,917.6183620418527,10.0,12.0,11.0
130,1499.824365096152,15.0,14.0,12.0
131,1338.0137879860793,14.0,22.0,21.0
132,1372.456780819141,14.0,20.0,20.0
133,1305.4390413906303,14.0,20.0,21.0
134,1409.9492791496502,15.0,19.0,19.0
135,412.6336363352354,5.0,21.0,15.0
136,365.2954315897326,4.0,6.0,8.0
137,383.24195052377763,4.0,6.0,8.0
138,374.36046339679297,4.0,6.0,6.0
139,472.3368237540186,5.0,6.0,6.0
140,405.21997701010633,5.0,7.0,7.0
141,363.1689446496197,4.0,6.0,7.0
142,459.9990049569627,5.0,6.0,7.0
143,506.1798566248606,6.0,7.0,8.0
144,615.2184146040111,7.0,8.0,9.0
145,686.018897477739,7.0,9.0,10.0
146,675.4065339949843,7.0,10.0,11.0
147,877.8659049056572,9.0,10.0,11.0
148,831.2463613899799,9.0,13.0,14.0
149,920.0101215256735,10.0,12.0,13.0
150,1009.0513742092121,11.0,14.0,15.0
151,1015.6218713158761,11.0,15.0,16.0
152,1347.983463963622,14.0,15.0,17.0
153,1410.1267992021167,15.0,20.0,21.0
154,1260.9386202485096,13.0,21.0,22.0
155,1312.7083602452076,14.0,19.0,21.0
156,1416.6940810965416,15.0,19.0,22.0
157,1365.4095060431266,14.0,21.0,21.0
158,1491.2843352278128,15.0,20.0,22.0
159,1747.3956389643681,18.0,22.0,24.0
160,1513.7620431543594,16.0,25.0,27.0
161,1614.3476764264428,17.0,22.0,25.0
162,1524.8696125943723,16.0,24.0,25.0
163,1753.505324578918,18.0,22.0,24.0
164,1457.6703064569388,15.0,26.0,27.0
165,1459.4722478689614,15.0,21.0,24.0
166,1376.0313476811384,14.0,21.0,23.0
167,1536.5470251141674,16.0,20.0,22.0
168,1479.7360247437362,15.0,22.0,23.0
169,1302.6918434829754,14.0,22.0,21.0
170,1317.3909140393112,14.0,19.0,21.0
171,1272.1737387257022,13.0,19.0,20.0
172,1208.1377822058037,13.0,19.0,19.0
173,1112.066645899765,12.0,18.0,17.0
174,1053.453090246295,11.0,16.0,17.0
175,1007.9415168412393,11.0,16.0,16.0
176,769.3284878927481,8.0,15.0,15.0
177,792.9659678756667,8.0,11.0,12.0
178,672.9727516408019,7.0,12.0,12.0
179,698.2055768017397,7.0,10.0,11.0
180,833.5006479832359,9.0,10.0,11.0
181,653.8183835082881,7.0,12.0,11.0
182,493.1593147739767,5.0,10.0,10.0
183,478.5725968293575,5.0,8.0,9.0
184,177.75504660476753,2.0,7.0,8.0
185,593.8650108013653,6.0,3.0,6.0
186,320.08970480444395,4.0,9.0,7.0
187,419.6665312538472,5.0,5.0,5.0
188,471.7877355964865,5.0,6.0,7.0
189,382.6851615182113,4.0,7.0,7.0
190,359.3479061512199,4.0,6.0,6.0
191,464.9278241688691,5.0,6.0,6.0
192,447.92988626838707,5.0,7.0,7.0
193,563.1395997757467,6.0,7.0,8.0
194,570.9671142082393,6.0,9.0,10.0
195,654.2568392383366,7.0,9.0,9.0
196,736.768358228862,8.0,10.0,11.0
197,762.8397684797927,8.0,11.0,12.0
198,893.8096393787775,9.0,11.0,12.0
199,742.1512194498603,8.0,13.0,14.0
200,939.7711829438218,10.0,11.0,13.0
201,1071.4614959846795,11.0,14.0,15.0
202,1208.540531874032,13.0,16.0,17.0
203,1261.604388523666,13.0,18.0,19.0
204,1102.7081337383563,12.0,19.0,20.0
205,1506.333475147882,16.0,16.0,19.0
206,1392.197067409562,14.0,22.0,23.0
207,1478.5814528082433,15.0,20.0,22.0
208,1486.8759740814696,15.0,22.0,24.0
209,1526.2193180955242,16.0,22.0,24.0
210,2927.950453999871,30.0,22.0,25.0
211,2906.5410648345974,30.0,42.0,45.0
212,2632.382636617209,27.0,42.0,42.0
213,2886.8755397806713,29.0,38.0,43.0
214,2933.366108688988,30.0,42.0,46.0
215,1502.1862362043287,16.0,42.0,27.0
216,1533.3652638876974,16.0,22.0,25.0
217,1491.9133672643782,15.0,22.0,25.0
218,1391.8249089164522,14.0,22.0,23.0
219,1518.3986777579441,16.0,20.0,25.0
220,1328.0575731412307,14.0,22.0,21.0
221,1272.181519857531,13.0,19.0,21.0
222,1310.676658681385,14.0,19.0,20.0
223,1122.127663330808,12.0,19.0,19.0
224,958.7987326523798,10.0,17.0,15.0
225,1110.7456927064902,12.0,14.0,15.0
226,1010.1838981287408,11.0,16.0,16.0
227,848.3918365724977,9.0,15.0,15.0
228,676.765198256451,7.0,13.0,14.0
229,731.4229985962658,8.0,10.0,11.0
230,381.9314833676175,4.0,11.0,11.0
231,677.4482390264573,7.0,6.0,9.0
232,667.9050861199519,7.0,10.0,9.0
233,390.63491216814964,4.0,10.0,9.0
234,523.6797256366524,6.0,6.0,8.0
235,549.6030800606466,6.0,8.0,8.0
236,284.9215796036611,3.0,8.0,8.0
237,400.6645347994417,5.0,5.0,6.0
238,467.0381769278829,5.0,6.0,6.0
239,436.73237565561686,5.0,7.0,7.0
240,419.2001065173804,5.0,7.0,8.0
241,485.9299350630729,5.0,6.0,6.0
242,409.80205841958673,5.0,7.0,7.0
243,463.0946223460227,5.0,6.0,7.0
244,606.4463296385892,7.0,7.0,7.0
245,630.3449222921535,7.0,9.0,9.0
246,641.3718378126214,7.0,10.0,10.0
247,705.4934579763608,8.0,10.0,11.0
248,880.8339090482875,9.0,11.0,11.0
249,809.0807468207267,9.0,13.0,14.0
250,1146.6789685398137,12.0,12.0,13.0
251,1034.1227297421792,11.0,17.0,18.0
252,1223.0096742628111,13.0,15.0,17.0
253,1230.6315824920878,13.0,18.0,20.0
254,1367.3767413105832,14.0,18.0,20.0
255,1394.5385115329784,14.0,20.0,21.0
256,1421.8295340000768,15.0,20.0,23.0
257,1415.4932583624025,15.0,21.0,23.0
258,1346.3946380810912,14.0,21.0,23.0
259,1602.0468809267998,17.0,20.0,23.0
260,1617.737914424774,17.0,23.0,24.0
261,1648.081362167938,17.0,24.0,26.0
262,1718.4931989984073,18.0,24.0,26.0
263,1552.3271227663106,16.0,25.0,27.0
264,1486.2151466497144,15.0,23.0,25.0
265,1628.0688290720948,17.0,22.0,23.0
266,1638.5846219005934,17.0,24.0,24.0
267,1649.6202021198455,17.0,24.0,25.0
268,1529.2732175206897,16.0,24.0,26.0
269,1305.9378079739645,14.0,22.0,24.0
270,1421.0304186043172,15.0,19.0,21.0
271,1229.039632330053,13.0,21.0,21.0
272,1091.4943953803374,11.0,18.0,18.0
273,1190.6209266945789,12.0,16.0,17.0
274,1082.1161954274296,11.0,18.0,17.0
275,913.4148893192319,10.0,16.0,16.0
276,802.176177722283,9.0,14.0,14.0
277,923.887421880502,10.0,12.0,12.0
278,883.7720818274898,9.0,14.0,13.0
279,854.0433110527107,9.0,13.0,13.0
280,591.6609122685271,6.0,13.0,12.0
281,374.90389574342646,4.0,9.0,10.0
282,517.0764868836791,6.0,6.0,9.0
283,537.4606600588833,6.0,8.0,8.0
284,386.1895466515231,4.0,8.0,7.0
285,489.70873801656546,5.0,6.0,7.0
286,415.46765606118475,5.0,7.0,8.0
287,236.39654818696994,3.0,6.0,6.0
288,405.4338063909231,5.0,4.0,6.0
289,482.91280258666734,5.0,6.0,5.0
290,1337.4807198188566,14.0,7.0,7.0
291,1525.6159416356334,16.0,20.0,20.0
292,1279.6925862176288,13.0,22.0,21.0
293,1218.5137012908588,13.0,19.0,20.0
294,1489.9863420366553,15.0,18.0,18.0
295,685.2806141575385,7.0,22.0,10.0
296,595.8556618754956,6.0,10.0,10.0
297,786.2019932361441,8.0,9.0,11.0
298,658.5150773472994,7.0,12.0,11.0
299,1031.8094043801011,11.0,10.0,13.0
300,1156.6853276578283,12.0,15.0,15.0
301,1025.6428077443745,11.0,17.0,16.0
302,1034.9176752627322,11.0,15.0,16.0
303,1093.9261575155354,11.0,15.0,17.0
304,1274.46249598654,13.0,16.0,15.0
305,1227.011133567914,13.0,19.0,20.0
306,1400.2169791368126,15.0,18.0,21.0
307,1368.2158544239373,14.0,21.0,22.0
308,1501.8869668577577,16.0,20.0,23.0
309,1490.231847544593,15.0,22.0,23.0
310,1622.7115494432462,17.0,22.0,23.0
311,1571.1217131415142,16.0,24.0,26.0
312,1477.3429741242821,15.0,23.0,25.0
313,1586.7798954396144,16.0,22.0,24.0
314,1632.4522131326369,17.0,23.0,24.0
315,1568.5369337574136,16.0,24.0,25.0
316,1664.1136491573914,17.0,23.0,24.0
317,1434.560317976961,15.0,24.0,26.0
318,1418.106358194119,15.0,21.0,23.0
319,1342.4384310043024,14.0,21.0,22.0
320,1291.0464239135329,13.0,20.0,20.0
321,1365.0170735180131,14.0,19.0,19.0
322,1295.7798321871562,13.0,20.0,20.0
323,995.0569154456487,10.0,19.0,19.0
324,1024.0995251745567,11.0,15.0,16.0
325,1138.0628660852608,12.0,15.0,15.0
326,864.2083245495705,9.0,17.0,15.0
327,708.4932547661873,8.0,13.0,13.0
328,816.8238458561661,9.0,11.0,12.0
329,652.9577678486744,7.0,12.0,12.0
330,564.214579919348,6.0,10.0,10.0
331,602.2912439202556,7.0,9.0,10.0
332,524.7259827897411,6.0,9.0,9.0
333,366.8958711101358,4.0,8.0,8.0
334,677.288659663386,7.0,6.0,8.0
335,274.5696610937266,3.0,10.0,8.0
336,379.0046125263684,4.0,4.0,6.0
337,363.457838989443,4.0,6.0,7.0
338,360.7802691563968,4.0,6.0,5.0
339,321.60938085357543,4.0,6.0,6.0
340,596.9505001355213,6.0,5.0,6.0
341,480.9549949651329,5.0,9.0,8.0
342,708.5626154159801,8.0,7.0,8.0
343,663.1431248295719,7.0,11.0,11.0
344,513.4593986570022,6.0,10.0,10.0
345,646.3985127995217,7.0,8.0,7.0
346,622.4145312139251,7.0,10.0,11.0
347,910.8478201221149,10.0,9.0,9.0
348,902.6860257142457,10.0,14.0,14.0
349,815.9400851276898,9.0,13.0,14.0
350,1011.6378502798756,11.0,12.0,14.0
351,985.1134444701942,10.0,15.0,16.0
352,1179.7809962300305,12.0,15.0,14.0
353,1253.0328566097412,13.0,17.0,19.0
354,1525.7440889043419,16.0,18.0,20.0
355,1407.595810972258,15.0,22.0,23.0
356,1466.3808313318787,15.0,21.0,23.0
357,1603.8694456444593,17.0,21.0,23.0
358,1580.4656443606439,16.0,23.0,25.0
359,1567.0540318017304,16.0,23.0,26.0
360,1363.2958331415816,14.0,23.0,26.0
361,1619.2340749809177,17.0,20.0,23.0
362,1584.6566535783422,16.0,24.0,25.0
363,1714.6404474280255,18.0,23.0,24.0
364,1532.927071916118,16.0,25.0,26.0
365,1551.616546044797,16.0,22.0,24.0
366,1516.581249019642,16.0,23.0,24.0
367,1469.058258860681,15.0,22.0,23.0
368,1455.7112608055854,15.0,21.0,22.0
369,1461.2601659538684,15.0,21.0,22.0
370,2528.0423016462123,26.0,21.0,23.0
371,2605.0730485978766,27.0,37.0,37.0
372,2425.2978268957386,25.0,38.0,38.0
373,2441.951730392549,25.0,35.0,38.0
374,2241.5322644214275,23.0,35.0,38.0
375,861.2183009330025,9.0,33.0,22.0
376,817.5046874403637,9.0,13.0,14.0
377,1006.9253881900322,11.0,12.0,14.0
378,868.2859314291024,9.0,15.0,13.0
379,550.1741411972704,6.0,13.0,13.0
380,791.1779026822625,8.0,8.0,12.0
381,708.6780643341881,8.0,12.0,12.0
382,699.0534207764149,7.0,11.0,12.0
383,402.94866017151315,5.0,10.0,11.0
384,343.9968497428624,4.0,6.0,7.0
385,489.9840855329734,5.0,5.0,7.0
386,475.24513681821026,5.0,7.0,7.0
387,428.55432958278743,5.0,7.0,7.0
388,394.22269515666693,4.0,7.0,6.0
389,410.0150098383138,5.0,6.0,7.0
390,543.6335766341175,6.0,6.0,6.0
391,618.3059966031855,7.0,8.0,8.0
392,497.82515442404036,5.0,9.0,9.0
393,485.03399310504017,5.0,8.0,9.0
394,653.2183742329654,7.0,7.0,9.0
395,634.3057267399304,7.0,10.0,10.0
396,794.8148401156741,8.0,10.0,10.0
397,674.7962382218178,7.0,12.0,13.0
398,897.9664238815895,9.0,10.0,12.0
399,920.6615595655105,10.0,13.0,14.0
400,961.2723866760693,10.0,14.0,14.0
401,1360.8517902302387,14.0,14.0,15.0
402,1086.2860776896441,11.0,20.0,22.0
403,1230.2392807655813,13.0,16.0,18.0
404,1215.1117639284805,13.0,18.0,20.0
405,1177.8449032574176,12.0,18.0,19.0
406,1427.4893064443115,15.0,17.0,18.0
407,1434.6338672150298,15.0,21.0,23.0
408,1205.1568738998594,13.0,21.0,23.0
409,1624.420895227082,17.0,18.0,21.0
410,1589.7953138594928,16.0,24.0,25.0
411,1530.7060138628137,16.0,23.0,24.0
412,1643.420907259773,17.0,22.0,25.0
413,1914.8195304297037,20.0,24.0,25.0
414,1558.1866425700919,16.0,28.0,29.0
415,1533.7566719352658,16.0,23.0,26.0
416,1534.394655733765,16.0,22.0,25.0
417,1605.6290205426346,17.0,22.0,23.0
418,1406.0188464929092,15.0,23.0,25.0
419,1404.1580486616544,15.0,21.0,21.0
420,1283.7010384618825,13.0,21.0,22.0
421,1291.2363836451798,13.0,19.0,20.0
422,1286.5248597471334,13.0,19.0,19.0
423,1163.173003219008,12.0,19.0,18.0
424,1083.196265525776,11.0,17.0,18.0
425,947.4097561484738,10.0,16.0,16.0
426,950.638661278628,10.0,14.0,14.0
427,847.5459755109503,9.0,14.0,13.0
428,760.3201676547463,8.0,13.0,13.0
429,664.8373017429233,7.0,11.0,12.0
430,586.0405306895576,6.0,10.0,11.0
431,756.1604413642556,8.0,9.0,10.0
432,621.6058638402733,7.0,11.0,10.0
433,474.68671897405113,5.0,9.0,9.0
434,460.9523947562072,5.0,7.0,8.0
435,417.1573588668423,5.0,7.0,7.0
436,384.3329593643732,4.0,6.0,7.0
437,467.0800209782033,5.0,6.0,6.0
438,568.3924993085046,6.0,7.0,7.0
439,272.1973876748644,3.0,9.0,8.0
440,335.5793776453952,4.0,4.0,6.0
441,491.98087526037864,5.0,5.0,5.0
442,466.5485847932367,5.0,8.0,7.0
443,495.74967761188935,5.0,7.0,7.0
444,682.9800464550134,7.0,8.0,8.0
445,527.571333453044,6.0,10.0,10.0
446,808.4608246617083,9.0,8.0,9.0
447,727.0380445285073,8.0,12.0,13.0
448,779.5576604774981,8.0,11.0,11.0
449,956.2733144861123,10.0,12.0,13.0
450,2242.092803907021,23.0,14.0,16.0
451,2527.1548316177386,26.0,33.0,34.0
452,2403.310026119876,25.0,37.0,37.0
453,2341.28177342306,24.0,35.0,38.0
454,2478.8198308665874,25.0,34.0,36.0
455,1233.7314527750602,13.0,36.0,18.0
456,1375.3674071691437,14.0,18.0,17.0
457,1414.4944958423675,15.0,20.0,21.0
458,1351.412312937082,14.0,21.0,21.0
459,1583.5480649008327,16.0,20.0,25.0
460,1446.3017730876174,15.0,23.0,22.0
461,1607.4333100969461,17.0,21.0,21.0
462,1443.7470445858517,15.0,23.0,22.0
463,1709.9281151379012,18.0,21.0,22.0
464,1396.4893439127734,14.0,25.0,23.0
465,1616.3009668621173,17.0,20.0,23.0
466,1642.5180642325395,17.0,24.0,25.0
467,1287.190251359394,13.0,24.0,24.0
468,1540.3150813027798,16.0,19.0,22.0
469,1396.3792433695933,14.0,23.0,22.0
470,1352.1749999107599,14.0,20.0,22.0
471,1131.2073027315982,12.0,20.0,20.0
472,1220.205376273047,13.0,17.0,18.0
473,1147.948778758785,12.0,18.0,18.0
474,888.8982481758718,9.0,17.0,17.0
475,973.0197298142929,10.0,13.0,14.0
476,992.4304690135151,10.0,14.0,14.0
477,887.8492204854078,9.0,15.0,14.0
478,705.6330131459097,8.0,13.0,13.0
479,677.9477630569244,7.0,11.0,11.0
480,581.3295050024303,6.0,10.0,10.0
481,474.36462051196384,5.0,9.0,10.0
482,502.4951054250125,6.0,7.0,8.0
483,372.2125112030043,4.0,8.0,8.0
484,447.16363115137335,5.0,6.0,7.0
485,594.2056248732337,6.0,7.0,7.0
486,351.15800708702153,4.0,9.0,7.0
487,230.1685899105984,3.0,6.0,6.0
488,255.68084051076195,3.0,4.0,6.0
489,340.03302406948296,4.0,4.0,4.0
490,534.114340455646,6.0,5.0,5.0
491,461.5708719569859,5.0,8.0,8.0
492,416.0459746061375,5.0,7.0,8.0
493,628.3016802754572,7.0,6.0,8.0
494,744.9471285668233,8.0,9.0,10.0
495,555.777976202297,6.0,11.0,11.0
496,670.5900604078943,7.0,8.0,10.0
497,613.6417198855132,7.0,10.0,11.0
498,714.0219969934496,8.0,9.0,9.0
499,970.2258838863705,10.0,11.0,12.0
