case,root_cause,fault,baro,causalrca,circa,hybrid,rules,tracerca
re2ob_productcatalogservice_loss_1,productcatalogservice,loss,1,,1,8,6,5
re2ob_productcatalogservice_loss_2,productcatalogservice,loss,1,,2,6,7,4
re2ob_productcatalogservice_loss_3,productcatalogservice,loss,1,,1,6,6,3
re2ob_productcatalogservice_mem_1,productcatalogservice,mem,1,,2,7,5,4
re2ob_productcatalogservice_mem_2,productcatalogservice,mem,1,,1,4,5,4
re2ob_productcatalogservice_mem_3,productcatalogservice,mem,2,,2,4,5,4
re2ob_productcatalogservice_socket_1,productcatalogservice,socket,2,,2,8,6,4
re2ob_productcatalogservice_socket_2,productcatalogservice,socket,2,,1,6,5,4
re2ob_productcatalogservice_socket_3,productcatalogservice,socket,2,,2,7,3,4
re2ob_recommendationservice_cpu_1,recommendationservice,cpu,2,,1,2,2,2
re2ob_recommendationservice_cpu_2,recommendationservice,cpu,2,,2,2,2,2
re2ob_recommendationservice_cpu_3,recommendationservice,cpu,2,,2,1,2,2
re2ob_recommendationservice_delay_1,recommendationservice,delay,2,,1,1,1,2
re2ob_recommendationservice_delay_2,recommendationservice,delay,2,,2,1,1,2
re2ob_recommendationservice_delay_3,recommendationservice,delay,2,,1,1,1,2
re2ob_recommendationservice_disk_1,recommendationservice,disk,2,,9,1,2,2
re2ob_recommendationservice_disk_2,recommendationservice,disk,2,,1,1,1,2
re2ob_recommendationservice_disk_3,recommendationservice,disk,2,,1,1,1,2
re2ob_recommendationservice_loss_1,recommendationservice,loss,1,,2,1,2,2
re2ob_recommendationservice_loss_2,recommendationservice,loss,1,,1,3,1,2
re2ob_recommendationservice_loss_3,recommendationservice,loss,1,,2,3,1,2
re2ob_recommendationservice_mem_1,recommendationservice,mem,2,,1,3,1,2
re2ob_recommendationservice_mem_2,recommendationservice,mem,2,,2,1,1,2
re2ob_recommendationservice_mem_3,recommendationservice,mem,2,,1,1,1,2
re2ob_recommendationservice_socket_1,recommendationservice,socket,2,,3,1,1,2
re2ob_recommendationservice_socket_2,recommendationservice,socket,2,,1,2,1,2
re2ob_recommendationservice_socket_3,recommendationservice,socket,2,,2,1,1,2
