phase,function,memory_mb,calls,error_rate,cold_n,init_p50_ms,init_p95_ms,init_p99_ms,cold_duration_p50_ms,warm_duration_p50_ms,rtt_p50_ms,rtt_p95_ms,rtt_p99_ms,cold_fraction,intended_cold_came_back_warm,cost_per_1k_usd
memory,nodejs-optimised,1769,80,0.0,40,162.175,211.89449999999997,237.3143,36.769999999999996,28.65,136.02249999999998,273.6465,304.45676,0.5,0,0.002938738954042968
memory,nodejs-optimised,3008,80,0.0,40,173.235,214.95399999999998,232.096,37.835,29.31,140.87900000000002,270.28484999999995,303.72570999999994,0.5,0,0.0049484924923437505
memory,python-optimised,128,80,0.0,40,288.75,379.30699999999996,405.9082,200.5,193.985,343.205,597.1529,625.6878399999997,0.5,0,0.0007795237309375
memory,python-optimised,512,80,0.0125,40,206.015,247.31249999999997,263.721,51.5,49.14,230.62,322.8503999999999,342.07102,0.5063291139240507,0,0.001229372235443038
memory,python-optimised,1024,80,0.0,40,167.185,194.51549999999997,206.46499999999997,26.564999999999998,25.485,127.82000000000001,240.81969999999998,255.63343999999998,0.5,0,0.0016688406775000003
memory,python-optimised,1769,80,0.0125,39,150.74,191.202,194.86319999999998,16.0,15.57,65.468,231.65479999999997,248.66654,0.4936708860759494,0,0.0022608113324861547
memory,python-optimised,3008,80,0.0,40,156.995,185.747,188.3525,16.02,15.17,103.38900000000001,227.57154999999997,230.62073999999998,0.5,0,0.0038591641290625003
package_size,java-default,1024,100,0.0,50,839.1500000000001,1062.7105,1130.3919999999998,62.614999999999995,21.64,418.391,1125.2902,1177.8083600000004,0.53,0,0.0063248306239999975
package_size,java-optimised,1024,100,0.0,50,538.91,728.14,776.8827999999999,61.905,21.28,282.5065,793.33365,855.1309700000003,0.52,0,0.00448868811
package_size,nodejs-default,1024,100,0.0,50,605.83,726.9735,869.5600999999998,63.535,48.105000000000004,337.972,795.6291499999999,923.2132600000004,0.54,0,0.005182824914
package_size,nodejs-optimised,1024,100,0.0,50,190.705,256.46049999999997,572.5575999999999,61.735,48.21,164.8145,333.74994999999996,346.20354000000003,0.52,0,0.0024177444220000004
package_size,python-default,1024,100,0.0,50,641.05,916.2079999999997,989.5971999999999,26.91,25.35,319.468,895.15045,1009.8243400000003,0.56,0,0.005284825424
package_size,python-optimised,1024,100,0.0,50,180.325,229.816,469.9921999999992,26.17,24.965,137.41649999999998,273.77565,296.18800000000005,0.58,0,0.002177743222
runtime_compare,java-optimised,1024,100,0.0,50,537.315,721.592,793.9037999999998,63.43,22.17,280.595,773.1754999999999,849.2511400000005,0.55,0,0.004642555546000001
runtime_compare,nodejs-optimised,1024,100,0.0,50,196.115,278.5394999999999,582.2666999999998,62.095,49.07,159.6005,326.04004999999995,363.3243900000001,0.57,0,0.002608545376
runtime_compare,python-optimised,1024,100,0.0,50,168.405,339.36749999999955,553.6048999999998,27.265,24.94,113.976,258.08315,285.60320000000013,0.59,0,0.00224267688
warming,warm-control,1024,39,0.0,0,,,,,25.83,53.467,206.46540000000002,237.84015999999997,0.41025641025641024,0,0.00290326137948718
warming,warm-target,1024,39,0.0,0,,,,,25.07,54.993,68.32930000000002,77.36261999999998,0.2564102564102564,0,0.0016454773128205132
